,Covidence #,Study ID,Title,Short Title,Year,Organization(s)/Association(s),Country,Topic/Category,Grading Method,Overall guideline assessment: Rate the overall quality of this guideline.,Number of LoE levels,Number of SoR levels,Recommendation,LoE (Text),LoE (Number),SoR (Text),SoR (Number),Specific target group?,LoE (scaled),Source,AI Clustering
10,1429,NationalGuidelineCentre(UK) 2016,,Multimorbidity: clinical assessment and management,2016,National Institute for Health and Care Excellence,UK,Multimorbidity,GRADE,6,4,3,Consider using primary care electronic health records to identify markers of increased treatment burden such as number of regular medicines a person is prescribed.,Low,2,Weak,1,,0.5,National Institute for Health and Care Excellence. Multimorbidity: Clinical Assessment and Management [Internet]. London: National Institutefor Health and Care Excellence; 2016 [cited 2021 Dec 18]. Available from: https://www.nice.org.uk/guidance/ng56,20
11,1429,NationalGuidelineCentre(UK) 2016,,Multimorbidity: clinical assessment and management,2016,National Institute for Health and Care Excellence,UK,Multimorbidity,GRADE,6,4,3,"Encourage people with multimorbidity to clarify what is important to them, including their personal goals, values and priorities. These may include:
- maintaining their independence
- undertaking paid or voluntary work, taking part in social activities and playing an active part in family life
- preventing specific adverse outcomes (for example, stroke)
- reducing harms from medicines
- reducing treatment burden
- lengthening life",Low,2,Strong,2,,0.5,National Institute for Health and Care Excellence. Multimorbidity: Clinical Assessment and Management [Internet]. London: National Institutefor Health and Care Excellence; 2016 [cited 2021 Dec 18]. Available from: https://www.nice.org.uk/guidance/ng56,20
12,1429,NationalGuidelineCentre(UK) 2016,,Multimorbidity: clinical assessment and management,2016,National Institute for Health and Care Excellence,UK,Multimorbidity,GRADE,6,4,3,"Identify adults with multimorbidity who may benefit from an approach to care that takes account of multimorbidity (as outlined in Chapter 6):
- opportunistically during routine care
- proactively using electronic health records. Use the criteria in recommendation 5 to guide this",Low,2,Strong,2,,0.5,National Institute for Health and Care Excellence. Multimorbidity: Clinical Assessment and Management [Internet]. London: National Institutefor Health and Care Excellence; 2016 [cited 2021 Dec 18]. Available from: https://www.nice.org.uk/guidance/ng56,20
13,1429,NationalGuidelineCentre(UK) 2016,,Multimorbidity: clinical assessment and management,2016,National Institute for Health and Care Excellence,UK,Multimorbidity,GRADE,6,4,3,"Consider an approach to care that takes account of multimorbidity for adults of any age who:
- are prescribed 10 to 14 regular medicines
- are prescribed fewer than 10 regular medicines but are at particular risk of adverse events",Very Low,1,Weak,1,,0.25,National Institute for Health and Care Excellence. Multimorbidity: Clinical Assessment and Management [Internet]. London: National Institutefor Health and Care Excellence; 2016 [cited 2021 Dec 18]. Available from: https://www.nice.org.uk/guidance/ng56,20
14,1429,NationalGuidelineCentre(UK) 2016,,Multimorbidity: clinical assessment and management,2016,National Institute for Health and Care Excellence,UK,Multimorbidity,GRADE,6,4,3,"Be alert to the possibility of:
- depression and anxiety
- chronic pain and the need to assess this and the adequacy of pain management",Low,2,Strong,2,,0.5,National Institute for Health and Care Excellence. Multimorbidity: Clinical Assessment and Management [Internet]. London: National Institutefor Health and Care Excellence; 2016 [cited 2021 Dec 18]. Available from: https://www.nice.org.uk/guidance/ng56,2
15,1429,NationalGuidelineCentre(UK) 2016,,Multimorbidity: clinical assessment and management,2016,National Institute for Health and Care Excellence,UK,Multimorbidity,GRADE,6,4,3,"After a discussion of disease and treatment burden and the person’s personal goals, values and priorities, develop and agree an individualised management plan with the person. Agree what will be recorded and what actions will be taken. These could include:
- starting, stopping or changing medicines and nonpharmacological treatments
- prioritising healthcare appointments
- anticipating possible changes to health and wellbeing
- assigning responsibility for coordination of care and ensuring this is communicated to other healthcare professionals and services
- other areas the person considers important to them arranging a follow-up and review of decisions made. Share copies of the management plan in an accessible format with the person and (with the person's permission) other people involved in care (including healthcare professionals, a partner, family members and/or carers)",Low,2,Strong,2,,0.5,National Institute for Health and Care Excellence. Multimorbidity: Clinical Assessment and Management [Internet]. London: National Institutefor Health and Care Excellence; 2016 [cited 2021 Dec 18]. Available from: https://www.nice.org.uk/guidance/ng56,20
16,1429,NationalGuidelineCentre(UK) 2016,,Multimorbidity: clinical assessment and management,2016,National Institute for Health and Care Excellence,UK,Multimorbidity,GRADE,6,4,3,"Establish treatment burden by talking to people about how treatments for their health problems affect their day-to-day life. Include in the discussion:
- the number and type of healthcare appointments a person has and where these take place
- the number and type of medicines a person is taking and how often
- any harms from medicines
- non-pharmacological treatments such as diets, exercise programmes and psychological treatments
- any effects of treatment on their mental health or wellbeing",Low,2,Strong,2,,0.5,National Institute for Health and Care Excellence. Multimorbidity: Clinical Assessment and Management [Internet]. London: National Institutefor Health and Care Excellence; 2016 [cited 2021 Dec 18]. Available from: https://www.nice.org.uk/guidance/ng56,20
17,1432,NationalClinicalGuidelineCentre(UK) 2016,,Fractures (non-complex): assessment and management,2018,National Institute for Health and Care Excellence,UK,Fractures & Osteoporosis,GRADE,6,4,3,Use intravenous opioids with caution in frail or older adults.,Very low,1,Should,2,,0.25,National Institute for Health and Care Excellence. Fractures (non-complex): assessment and management [Internet]. London: National Institute for Health and Care Excellence; 2016 [cited 2021 Dec 18]. Available from: https://www.nice.org.uk/guidance/ng38,20
18,1432,NationalClinicalGuidelineCentre(UK) 2016,,Fractures (non-complex): assessment and management,2018,National Institute for Health and Care Excellence,UK,Fractures & Osteoporosis,GRADE,6,4,3,Do not offer non-steroidal anti-inflammatory drugs (NSAIDs) to frail or older adults with fractures.,Very low,1,Should,2,,0.25,National Institute for Health and Care Excellence. Fractures (non-complex): assessment and management [Internet]. London: National Institute for Health and Care Excellence; 2016 [cited 2021 Dec 18]. Available from: https://www.nice.org.uk/guidance/ng38,9
19,1504,Anonymous 2021,"Osteoporosis Prevention, Screening, and Diagnosis: ACOG Clinical Practice Guideline No. 1.","Osteoporosis Prevention, Screening, and Diagnosis",2021,American College of Obstetricians and Gynecologists,United States,Fractures & Osteoporosis,GRADE,4,4,2,The American College of Obstetricians and Gynecologists (ACOG) recommends screening for osteoporosis in postmenopausal patients 65 years and older with bone mineral density testing to prevent osteoporotic fractures.,High,4,Strong,2,Women,1,"Osteoporosis Prevention, Screening, and Diagnosis: ACOG Clinical Practice Guideline No. 1. Obstetrics & Gynecology. 2021 Sep;138(3):494–506.",7
20,2010,Klijn 2019,Antithrombotic treatment for secondary prevention of stroke and other thromboembolic events in patients with stroke or transient ischemic attack and non-valvular atrial fibrillation: A European Stroke Organisation guideline.,"Antithrombotic treatment for secondary prevention of stroke and other thromboembolic events in patients
with stroke or transient ischemic attack and non-valvular atrial fibrillation",2019,European Stroke Organisation,Other: Europe,Atrial Fibrillation,GRADE,5,4,2,"In elderly patients with nonvalvular artrial fibrillation and a history of ischemic stroke or transient ischaemic attack, we suggest oral anticoagulant treatment over antiplatelet treatment or no oral anticoagulant treatment for secondary prevention of all events.",Low,2,Weak,1,,0.5,"Klijn CJ, Paciaroni M, Berge E, Korompoki E, Kõrv J, Lal A, et al. Antithrombotic treatment for secondary prevention of stroke and other thromboembolic events in patients with stroke or transient ischemic attack and non-valvular atrial fibrillation: A European Stroke Organisation guideline. European Stroke Journal. 2019 Sep;4(3):198–223.",15
21,2010,Klijn 2019,Antithrombotic treatment for secondary prevention of stroke and other thromboembolic events in patients with stroke or transient ischemic attack and non-valvular atrial fibrillation: A European Stroke Organisation guideline.,"Antithrombotic treatment for secondary prevention of stroke and other thromboembolic events in patients
with stroke or transient ischemic attack and non-valvular atrial fibrillation",2019,European Stroke Organisation,Other: Europe,Atrial Fibrillation,GRADE,5,4,2,"In patients with cognitive deficits, non-valvular artrial fibrillation and previous ischemic stroke or transient ischaemic attack, we suggest oral anticoagulant treatment over antiplatelet treatment or no oral anticoagulant treatment for secondary prevention of all events.",Low,2,Weak,1,,0.5,"Klijn CJ, Paciaroni M, Berge E, Korompoki E, Kõrv J, Lal A, et al. Antithrombotic treatment for secondary prevention of stroke and other thromboembolic events in patients with stroke or transient ischemic attack and non-valvular atrial fibrillation: A European Stroke Organisation guideline. European Stroke Journal. 2019 Sep;4(3):198–223.",15
22,2010,Klijn 2019,Antithrombotic treatment for secondary prevention of stroke and other thromboembolic events in patients with stroke or transient ischemic attack and non-valvular atrial fibrillation: A European Stroke Organisation guideline.,"Antithrombotic treatment for secondary prevention of stroke and other thromboembolic events in patients
with stroke or transient ischemic attack and non-valvular atrial fibrillation",2019,European Stroke Organisation,Other: Europe,Atrial Fibrillation,GRADE,5,4,2,"In patients with cognitive decline, non-valvular artrial fibrillation and previous ischemic stroke or transient ischaemic attack, we suggest non Vitamin K antagonist oral anticoagulants treatment over Vitamin K antagonist treatment for secondary prevention of all events.",Low,2,Weak,1,,0.5,"Klijn CJ, Paciaroni M, Berge E, Korompoki E, Kõrv J, Lal A, et al. Antithrombotic treatment for secondary prevention of stroke and other thromboembolic events in patients with stroke or transient ischemic attack and non-valvular atrial fibrillation: A European Stroke Organisation guideline. European Stroke Journal. 2019 Sep;4(3):198–223.",15
23,2010,Klijn 2019,Antithrombotic treatment for secondary prevention of stroke and other thromboembolic events in patients with stroke or transient ischemic attack and non-valvular atrial fibrillation: A European Stroke Organisation guideline.,"Antithrombotic treatment for secondary prevention of stroke and other thromboembolic events in patients
with stroke or transient ischemic attack and non-valvular atrial fibrillation",2019,European Stroke Organisation,Other: Europe,Atrial Fibrillation,GRADE,5,4,2,"In elderly patients with nonvalvular artrial fibrillation and previous ischemic stroke or transient ischaemic attack, we suggest non-Vitamin K antagonist oral anticoagulants treatment over Vitamin K antagonist treatment for secondary prevention of all events.",Low,2,Weak,1,,0.5,"Klijn CJ, Paciaroni M, Berge E, Korompoki E, Kõrv J, Lal A, et al. Antithrombotic treatment for secondary prevention of stroke and other thromboembolic events in patients with stroke or transient ischemic attack and non-valvular atrial fibrillation: A European Stroke Organisation guideline. European Stroke Journal. 2019 Sep;4(3):198–223.",15
24,2048,Smith 2020,Canadian Consensus Conference on Diagnosis and Treatment of Dementia (CCCDTD)5: Guidelines for management of vascular cognitive impairment.,Management of vascular cognitive impairment,2020,Canadian Consensus Conference on Diagnosis and Treatment of Dementia,Canada,Delirium & Dementia,Other: Modified GRADE,4,3,2,The use of aspirin is not recommended for patients with mild cognitive impairment (MCI) or dementia who have brain imaging evidence of covert white matter lesions of presumed vascular origin without history of stroke or brain infarcts.,C,1,2,1,,0.333333333333333,"Smith EE, Barber P, Field TS, Ganesh A, Hachinski V, Hogan DB, et al. Canadian Consensus Conference on Diagnosis and Treatment of Dementia (CCCDTD)5: Guidelines for management of vascular cognitive impairment. A&D Transl Res & Clin Interv. 2020 Jan;6(1):e12056.",9
25,2048,Smith 2020,Canadian Consensus Conference on Diagnosis and Treatment of Dementia (CCCDTD)5: Guidelines for management of vascular cognitive impairment.,Management of vascular cognitive impairment,2020,Canadian Consensus Conference on Diagnosis and Treatment of Dementia,Canada,Delirium & Dementia,Other: Modified GRADE,4,3,2,"Because treatment of hypertension may reduce risk of dementia, clinicians should assess, diagnose, and treat hypertension according to guidelines from Hypertension Canada.",B,2,1,2,,0.666666666666667,"Smith EE, Barber P, Field TS, Ganesh A, Hachinski V, Hogan DB, et al. Canadian Consensus Conference on Diagnosis and Treatment of Dementia (CCCDTD)5: Guidelines for management of vascular cognitive impairment. A&D Transl Res & Clin Interv. 2020 Jan;6(1):e12056.",6
26,2048,Smith 2020,Canadian Consensus Conference on Diagnosis and Treatment of Dementia (CCCDTD)5: Guidelines for management of vascular cognitive impairment.,Management of vascular cognitive impairment,2020,Canadian Consensus Conference on Diagnosis and Treatment of Dementia,Canada,Delirium & Dementia,Other: Modified GRADE,4,3,2,"Use of standardized criteria (one of: the Vascular Behavioral and Cognitive Disorders [VAS-COG] Society criteria, Diagnostic and Statistical Manual of Mental Disorders [DSM5], Vascular Impairment of Cognition Classification Consensus Study, or the American Heart Association consensus statement) are recommended for the diagnosis of vascular mild cognitive impairment and vascular dementia.",C,1,1,2,,0.333333333333333,"Smith EE, Barber P, Field TS, Ganesh A, Hachinski V, Hogan DB, et al. Canadian Consensus Conference on Diagnosis and Treatment of Dementia (CCCDTD)5: Guidelines for management of vascular cognitive impairment. A&D Transl Res & Clin Interv. 2020 Jan;6(1):e12056.",19
27,2048,Smith 2020,Canadian Consensus Conference on Diagnosis and Treatment of Dementia (CCCDTD)5: Guidelines for management of vascular cognitive impairment.,Management of vascular cognitive impairment,2020,Canadian Consensus Conference on Diagnosis and Treatment of Dementia,Canada,Delirium & Dementia,Other: Modified GRADE,4,3,2,"The effects of aspirin on cognitive decline in patients with mild cognitive impairment (MCI) or dementia who have covert brain infarcts detected on neuroimaging without history of stroke has not been defined. The use of aspirin in this setting is reasonable, but the benefit is unclear.",C,1,2,1,,0.333333333333333,"Smith EE, Barber P, Field TS, Ganesh A, Hachinski V, Hogan DB, et al. Canadian Consensus Conference on Diagnosis and Treatment of Dementia (CCCDTD)5: Guidelines for management of vascular cognitive impairment. A&D Transl Res & Clin Interv. 2020 Jan;6(1):e12056.",9
28,2048,Smith 2020,Canadian Consensus Conference on Diagnosis and Treatment of Dementia (CCCDTD)5: Guidelines for management of vascular cognitive impairment.,Management of vascular cognitive impairment,2020,Canadian Consensus Conference on Diagnosis and Treatment of Dementia,Canada,Delirium & Dementia,Other: Modified GRADE,4,3,2,"All patients with cognitive symptoms or impairment should receive guideline-recommended treatments to prevent first-ever or recurrent stroke, as appropriate.",B,2,1,2,,0.666666666666667,"Smith EE, Barber P, Field TS, Ganesh A, Hachinski V, Hogan DB, et al. Canadian Consensus Conference on Diagnosis and Treatment of Dementia (CCCDTD)5: Guidelines for management of vascular cognitive impairment. A&D Transl Res & Clin Interv. 2020 Jan;6(1):e12056.",15
29,2048,Smith 2020,Canadian Consensus Conference on Diagnosis and Treatment of Dementia (CCCDTD)5: Guidelines for management of vascular cognitive impairment.,Management of vascular cognitive impairment,2020,Canadian Consensus Conference on Diagnosis and Treatment of Dementia,Canada,Delirium & Dementia,Other: Modified GRADE,4,3,2,"Cholinesterase inhibitors (donepezil, galantamine, rivastigmine) and the N-methyl-D-aspartate (NMDA) receptor antagonist memantine may be considered for the treatment of vascular cognitive impairment in selected patients.",B,2,2,1,,0.666666666666667,"Smith EE, Barber P, Field TS, Ganesh A, Hachinski V, Hogan DB, et al. Canadian Consensus Conference on Diagnosis and Treatment of Dementia (CCCDTD)5: Guidelines for management of vascular cognitive impairment. A&D Transl Res & Clin Interv. 2020 Jan;6(1):e12056.",25
30,2048,Smith 2020,Canadian Consensus Conference on Diagnosis and Treatment of Dementia (CCCDTD)5: Guidelines for management of vascular cognitive impairment.,Management of vascular cognitive impairment,2020,Canadian Consensus Conference on Diagnosis and Treatment of Dementia,Canada,Delirium & Dementia,Other: Modified GRADE,4,3,2,"For patients with cognitive disorders in which a vascular contribution is known or suspected, antihypertensivet herapy should be strongly considered for average diastolic blood pressure readings ≥ 90 mmHg and for average systolic blood pressure readings ≥ 140 mmHg.",B,2,1,2,,0.666666666666667,"Smith EE, Barber P, Field TS, Ganesh A, Hachinski V, Hogan DB, et al. Canadian Consensus Conference on Diagnosis and Treatment of Dementia (CCCDTD)5: Guidelines for management of vascular cognitive impairment. A&D Transl Res & Clin Interv. 2020 Jan;6(1):e12056.",6
31,2048,Smith 2020,Canadian Consensus Conference on Diagnosis and Treatment of Dementia (CCCDTD)5: Guidelines for management of vascular cognitive impairment.,Management of vascular cognitive impairment,2020,Canadian Consensus Conference on Diagnosis and Treatment of Dementia,Canada,Delirium & Dementia,Other: Modified GRADE,4,3,2,In middle-aged and older persons being treated for hypertension who have associated vascular risk factors a systolic blood pressure treatment target of < 120 mmHg may be associated with a decreased risk of developing mild cognitive impairment (MCI) and should be considered when deciding on the intensity of their therapy.,C,1,2,1,,0.333333333333333,"Smith EE, Barber P, Field TS, Ganesh A, Hachinski V, Hogan DB, et al. Canadian Consensus Conference on Diagnosis and Treatment of Dementia (CCCDTD)5: Guidelines for management of vascular cognitive impairment. A&D Transl Res & Clin Interv. 2020 Jan;6(1):e12056.",6
32,2163,Bertram 2020,Canadian Guidelines on Cannabis Use Disorder Among Older Adults.,Cannabis Use Disorder Among Older Adults,2020,Canadian Coalition for Seniors’ Mental Health,Canada,Alcohol & Drug Abuse,Other: modified GRADE,4,3,2,"Clinicians should advise patients, caregivers, and families that it is dangerous to ride as a passenger with a driver who has used cannabis within the previous 24 hours.",High,3,Strong,2,,1,"Bertram JR, Porath A, Seitz D, Kalant H, Krishnamoorthy A, Nickerson J, et al. Canadian guidelines on cannabis use disorder among older adults. Canadian geriatrics journal. 2020;23(1):135.",0
33,2163,Bertram 2020,Canadian Guidelines on Cannabis Use Disorder Among Older Adults.,Cannabis Use Disorder Among Older Adults,2020,Canadian Coalition for Seniors’ Mental Health,Canada,Alcohol & Drug Abuse,Other: modified GRADE,4,3,2,"Cannabis should generally be avoided by older adults who have: Cognitive impairment, cardiovascular disease, cardiac arrhythmias, coronary artery disease, unstable blood pressure, or impaired balance.",Moderate,2,Strong,2,,0.666666666666667,"Bertram JR, Porath A, Seitz D, Kalant H, Krishnamoorthy A, Nickerson J, et al. Canadian guidelines on cannabis use disorder among older adults. Canadian geriatrics journal. 2020;23(1):135.",0
34,2163,Bertram 2020,Canadian Guidelines on Cannabis Use Disorder Among Older Adults.,Cannabis Use Disorder Among Older Adults,2020,Canadian Coalition for Seniors’ Mental Health,Canada,Alcohol & Drug Abuse,Other: modified GRADE,4,3,2,"Clinicians should educate patients to avoid illegal synthetic cannabinoids (e.g., K2 and SPICE,) because of the potential to cause serious harm.",Low,1,Strong,2,,0.333333333333333,"Bertram JR, Porath A, Seitz D, Kalant H, Krishnamoorthy A, Nickerson J, et al. Canadian guidelines on cannabis use disorder among older adults. Canadian geriatrics journal. 2020;23(1):135.",0
35,2163,Bertram 2020,Canadian Guidelines on Cannabis Use Disorder Among Older Adults.,Cannabis Use Disorder Among Older Adults,2020,Canadian Coalition for Seniors’ Mental Health,Canada,Alcohol & Drug Abuse,Other: modified GRADE,4,3,2,"Clinicians should be aware of the following: The common signs and symptoms associated with cannabis use, cannabis-induced impairment, cannabis withdrawal, CUD, and common consequences of problematic cannabis use.",High,3,Strong,2,,1,"Bertram JR, Porath A, Seitz D, Kalant H, Krishnamoorthy A, Nickerson J, et al. Canadian guidelines on cannabis use disorder among older adults. Canadian geriatrics journal. 2020;23(1):135.",0
